Order Id;Shipping Mode;Delivery Status;Late_delivery_risk;Days for shipping (real);Days for shipment (scheduled);shipping date (DateOrders)
50990;Standard Class;Late delivery;1;6;4;1/20/2017 7:43
49007;Standard Class;Advance shipping;0;3;4;12/19/2016 8:59
28542;Standard Class;Advance shipping;0;3;4;2/24/2016 15:11
23839;Standard Class;Late delivery;1;5;4;12/19/2015 23:30
23448;Standard Class;Shipping canceled;0;4;4;12/13/2015 6:31
28265;Standard Class;Shipping canceled;0;6;4;2/23/2016 14:08
24842;Standard Class;Shipping canceled;0;3;4;1/1/2016 14:54
22266;Standard Class;Shipping canceled;0;2;4;11/24/2015 0:25
50037;Standard Class;Shipping canceled;0;3;4;1/3/2017 9:50
23626;Standard Class;Shipping canceled;0;2;4;12/13/2015 20:53
42632;Standard Class;Shipping canceled;0;3;4;9/17/2016 7:32
28382;Standard Class;Shipping canceled;0;3;4;2/22/2016 7:07
26658;Standard Class;Shipping canceled;0;4;4;1/29/2016 3:08
27068;Standard Class;Shipping canceled;0;4;4;2/4/2016 2:46
27717;Standard Class;Shipping canceled;0;3;4;2/12/2016 14:08
21403;Standard Class;Shipping canceled;0;4;4;11/13/2015 10:04
38743;Standard Class;Shipping canceled;0;4;4;7/23/2016 13:02
33527;Standard Class;Shipping canceled;0;3;4;5/7/2016 9:39
37360;Standard Class;Shipping canceled;0;6;4;7/5/2016 8:31
35706;Standard Class;Shipping canceled;0;2;4;6/7/2016 5:03
31604;Standard Class;Shipping canceled;0;5;4;4/11/2016 7:56
36483;Standard Class;Shipping canceled;0;4;4;6/20/2016 13:16
34085;Standard Class;Late delivery;1;6;4;5/18/2016 13:08
40783;Standard Class;Shipping on time;0;4;4;8/22/2016 7:45
36662;Standard Class;Advance shipping;0;3;4;6/22/2016 3:58
40388;Standard Class;Shipping on time;0;4;4;8/16/2016 13:21
38608;Standard Class;Shipping on time;0;4;4;7/21/2016 13:45
33533;Standard Class;Shipping on time;0;4;4;5/8/2016 11:45
40826;Standard Class;Advance shipping;0;2;4;8/20/2016 22:48
41262;Standard Class;Advance shipping;0;3;4;8/28/2016 7:33
34344;Standard Class;Late delivery;1;5;4;5/21/2016 7:52
41228;Standard Class;Shipping on time;0;4;4;8/28/2016 19:39
34091;Standard Class;Advance shipping;0;2;4;5/14/2016 15:14
33451;Standard Class;Advance shipping;0;2;4;5/5/2016 7:01
38341;Standard Class;Advance shipping;0;2;4;7/15/2016 16:12
40707;Standard Class;Advance shipping;0;3;4;8/20/2016 5:07
40690;Standard Class;Late delivery;1;6;4;8/22/2016 23:10
39717;Standard Class;Advance shipping;0;3;4;8/5/2016 18:17
41139;Standard Class;Late delivery;1;5;4;8/28/2016 12:28
31845;Standard Class;Late delivery;1;6;4;4/15/2016 20:22
39437;Standard Class;Advance shipping;0;3;4;8/1/2016 16:11
35919;Standard Class;Late delivery;1;5;4;6/13/2016 7:40
37283;Standard Class;Shipping on time;0;4;4;7/2/2016 5:32
31437;Standard Class;Advance shipping;0;3;4;4/6/2016 21:25
38919;Standard Class;Late delivery;1;5;4;7/27/2016 2:42
35626;Standard Class;Advance shipping;0;2;4;6/6/2016 1:01
37578;Standard Class;Shipping on time;0;4;4;7/6/2016 12:53
40383;Standard Class;Shipping on time;0;4;4;8/16/2016 11:36
33401;Standard Class;Advance shipping;0;2;4;5/4/2016 13:30
36908;Standard Class;Shipping on time;0;4;4;6/26/2016 18:09
39987;Standard Class;Advance shipping;0;3;4;8/9/2016 16:52
37137;Standard Class;Advance shipping;0;3;4;6/29/2016 2:23
35131;Standard Class;Advance shipping;0;2;4;5/29/2016 19:36
31524;Standard Class;Late delivery;1;5;4;4/10/2016 3:54
40594;Standard Class;Late delivery;1;5;4;8/20/2016 13:32
39357;Standard Class;Advance shipping;0;3;4;7/31/2016 12:09
41284;Standard Class;Late delivery;1;5;4;8/30/2016 15:16
33532;Standard Class;Advance shipping;0;3;4;5/7/2016 11:24
31673;Standard Class;Shipping on time;0;4;4;4/11/2016 8:06
33191;Standard Class;Advance shipping;0;2;4;5/1/2016 11:56
39248;Standard Class;Shipping on time;0;4;4;7/30/2016 21:58
32892;Standard Class;Advance shipping;0;3;4;4/28/2016 3:10
35675;Standard Class;Late delivery;1;6;4;6/10/2016 18:11
32373;Standard Class;Shipping on time;0;4;4;4/21/2016 13:21
32629;Standard Class;Late delivery;1;5;4;4/26/2016 7:02
33577;Standard Class;Advance shipping;0;3;4;5/8/2016 3:10
44021;Standard Class;Advance shipping;0;2;4;10/6/2016 14:10
34819;Standard Class;Late delivery;1;5;4;5/28/2016 6:17
32917;Standard Class;Advance shipping;0;3;4;4/28/2016 11:56
34169;Standard Class;Late delivery;1;5;4;5/18/2016 18:34
46194;Standard Class;Late delivery;1;5;4;11/10/2016 7:27
48077;Standard Class;Advance shipping;0;3;4;12/5/2016 19:09
41062;Standard Class;Advance shipping;0;3;4;8/25/2016 9:29
32498;Standard Class;Shipping on time;0;4;4;4/23/2016 9:08
32487;Standard Class;Advance shipping;0;3;4;4/22/2016 5:17
34578;Standard Class;Shipping on time;0;4;4;5/23/2016 17:51
43459;Standard Class;Late delivery;1;5;4;10/1/2016 9:16
31564;Standard Class;Shipping canceled;0;5;4;4/10/2016 17:55
31350;Standard Class;Shipping canceled;0;6;4;4/8/2016 14:57
34656;Standard Class;Shipping canceled;0;2;4;5/22/2016 21:11
37960;Standard Class;Shipping canceled;0;6;4;7/14/2016 2:43
39147;Standard Class;Shipping canceled;0;3;4;7/28/2016 10:35
36653;Standard Class;Shipping canceled;0;4;4;6/23/2016 0:49
45966;First Class;Late delivery;1;2;1;11/3/2016 23:35
45349;First Class;Late delivery;1;2;1;10/25/2016 23:25
42717;First Class;Late delivery;1;2;1;9/17/2016 13:19
44672;First Class;Late delivery;1;2;1;10/16/2016 2:14
43301;First Class;Late delivery;1;2;1;9/26/2016 1:55
47205;First Class;Late delivery;1;2;1;11/22/2016 1:39
47982;First Class;Late delivery;1;2;1;12/3/2016 9:52
48938;First Class;Late delivery;1;2;1;12/17/2016 8:48
70950;First Class;Late delivery;1;2;1;11/3/2017 16:35
70719;First Class;Late delivery;1;2;1;10/31/2017 7:39
69647;First Class;Late delivery;1;2;1;10/15/2017 16:05
69747;First Class;Late delivery;1;2;1;10/17/2017 3:07
69459;First Class;Late delivery;1;2;1;10/12/2017 22:13
69566;First Class;Late delivery;1;2;1;10/14/2017 11:43
70937;First Class;Late delivery;1;2;1;11/3/2017 12:02
13467;First Class;Late delivery;1;2;1;7/18/2015 13:44
64898;First Class;Late delivery;1;2;1;8/7/2017 8:18
15824;First Class;Late delivery;1;2;1;8/21/2015 23:30
12520;First Class;Late delivery;1;2;1;7/4/2015 17:57
17825;First Class;Late delivery;1;2;1;9/20/2015 4:32
71288;First Class;Late delivery;1;2;1;11/8/2017 15:00
10460;First Class;Late delivery;1;2;1;6/4/2015 16:15
11445;First Class;Late delivery;1;2;1;6/19/2015 1:20
16222;First Class;Late delivery;1;2;1;8/27/2015 18:56
16039;First Class;Late delivery;1;2;1;8/25/2015 2:49
18000;First Class;Late delivery;1;2;1;9/22/2015 17:51
19940;First Class;Late delivery;1;2;1;10/21/2015 1:31
19264;First Class;Late delivery;1;2;1;10/11/2015 4:41
14568;First Class;Late delivery;1;2;1;8/3/2015 15:28
65427;First Class;Late delivery;1;2;1;8/15/2017 1:38
20213;First Class;Late delivery;1;2;1;10/25/2015 1:09
67707;First Class;Late delivery;1;2;1;9/17/2017 8:25
19695;First Class;Late delivery;1;2;1;10/17/2015 11:41
18597;First Class;Late delivery;1;2;1;10/1/2015 11:00
41969;First Class;Late delivery;1;2;1;9/6/2016 15:15
19493;First Class;Late delivery;1;2;1;10/14/2015 12:54
18487;First Class;Late delivery;1;2;1;9/29/2015 20:28
71294;First Class;Late delivery;1;2;1;11/8/2017 17:06
68828;First Class;Late delivery;1;2;1;10/3/2017 17:09
62137;First Class;Late delivery;1;2;1;6/28/2017 1:00
64348;First Class;Late delivery;1;2;1;7/30/2017 7:37
62036;First Class;Late delivery;1;2;1;6/26/2017 13:37
67682;First Class;Late delivery;1;2;1;9/16/2017 23:40
61701;First Class;Late delivery;1;2;1;6/21/2017 16:15
64669;First Class;Late delivery;1;2;1;8/4/2017 0:04
66225;First Class;Late delivery;1;2;1;8/26/2017 17:13
66357;First Class;Late delivery;1;2;1;8/28/2017 15:27
67967;First Class;Late delivery;1;2;1;9/21/2017 3:31
63087;First Class;Late delivery;1;2;1;7/11/2017 21:50
47155;First Class;Late delivery;1;2;1;11/21/2016 8:08
15495;First Class;Late delivery;1;2;1;8/17/2015 4:14
14176;First Class;Late delivery;1;2;1;7/28/2015 22:08
15499;First Class;Late delivery;1;2;1;8/17/2015 5:38
64864;First Class;Late delivery;1;2;1;8/6/2017 20:23
15159;First Class;Late delivery;1;2;1;8/12/2015 6:31
50400;First Class;Late delivery;1;2;1;1/7/2017 17:00
71550;First Class;Late delivery;1;2;1;11/12/2017 10:48
69383;First Class;Late delivery;1;2;1;10/11/2017 19:36
4386;First Class;Late delivery;1;2;1;3/8/2015 0:15
58816;First Class;Late delivery;1;2;1;5/10/2017 13:30
53639;First Class;Late delivery;1;2;1;2/23/2017 23:46
1892;First Class;Late delivery;1;2;1;1/30/2015 14:30
415;First Class;Late delivery;1;2;1;1/9/2015 1:02
8745;First Class;Late delivery;1;2;1;5/10/2015 15:24
58555;First Class;Late delivery;1;2;1;5/6/2017 18:04
61370;First Class;Late delivery;1;2;1;6/16/2017 20:17
54760;First Class;Late delivery;1;2;1;3/12/2017 8:31
1995;First Class;Late delivery;1;2;1;2/1/2015 2:35
9441;First Class;Late delivery;1;2;1;5/20/2015 19:15
59471;First Class;Late delivery;1;2;1;5/20/2017 2:59
9825;First Class;Late delivery;1;2;1;5/26/2015 9:47
7322;First Class;Late delivery;1;2;1;4/19/2015 20:52
52253;First Class;Late delivery;1;2;1;2/3/2017 18:12
59549;First Class;Late delivery;1;2;1;5/21/2017 6:19
54282;First Class;Late delivery;1;2;1;3/5/2017 9:03
54624;First Class;Late delivery;1;2;1;3/10/2017 8:52
52287;First Class;Late delivery;1;2;1;2/4/2017 6:06
56955;First Class;Late delivery;1;2;1;4/13/2017 9:31
3499;First Class;Late delivery;1;2;1;2/23/2015 1:30
59009;First Class;Late delivery;1;2;1;5/13/2017 9:07
6023;First Class;Late delivery;1;2;1;3/31/2015 21:46
51903;First Class;Late delivery;1;2;1;1/29/2017 15:34
1374;First Class;Late delivery;1;2;1;1/23/2015 1:01
9949;First Class;Late delivery;1;2;1;5/28/2015 5:13
53078;First Class;Late delivery;1;2;1;2/15/2017 19:14
53076;First Class;Late delivery;1;2;1;2/15/2017 18:32
1477;First Class;Late delivery;1;2;1;1/24/2015 13:06
5657;First Class;Late delivery;1;2;1;3/26/2015 13:32
51765;First Class;Late delivery;1;2;1;1/27/2017 15:14
57526;First Class;Late delivery;1;2;1;4/21/2017 17:34
51447;First Class;Late delivery;1;2;1;1/22/2017 23:49
5976;First Class;Late delivery;1;2;1;3/31/2015 5:18
52756;First Class;Late delivery;1;2;1;2/11/2017 2:25
74610;First Class;Late delivery;1;2;1;12/27/2017 2:51
74351;First Class;Late delivery;1;2;1;12/23/2017 8:07
74586;First Class;Late delivery;1;2;1;12/26/2017 18:26
75551;First Class;Late delivery;1;2;1;1/9/2018 20:31
72215;First Class;Late delivery;1;2;1;11/22/2017 3:46
72262;First Class;Late delivery;1;2;1;11/22/2017 20:14
23915;First Class;Late delivery;1;2;1;12/18/2015 2:08
29450;First Class;Late delivery;1;2;1;3/7/2016 21:17
74945;First Class;Late delivery;1;2;1;1/1/2018 0:13
26779;First Class;Late delivery;1;2;1;1/28/2016 21:31
22306;First Class;Late delivery;1;2;1;11/24/2015 14:26
50436;First Class;Late delivery;1;2;1;1/8/2017 5:37
21367;First Class;Late delivery;1;2;1;11/10/2015 21:27
74901;First Class;Late delivery;1;2;1;12/31/2017 8:48
25157;First Class;Late delivery;1;2;1;1/5/2016 5:16
22844;First Class;Late delivery;1;2;1;12/2/2015 10:55
74881;First Class;Late delivery;1;2;1;12/31/2017 1:47
50681;First Class;Late delivery;1;2;1;1/11/2017 19:27
75314;First Class;Late delivery;1;2;1;1/6/2018 9:29
44411;First Class;Late delivery;1;2;1;10/12/2016 6:48
27936;First Class;Late delivery;1;2;1;2/14/2016 18:52
44182;First Class;Late delivery;1;2;1;10/8/2016 22:34
48765;First Class;Late delivery;1;2;1;12/14/2016 20:12
42906;First Class;Late delivery;1;2;1;9/20/2016 7:31
29157;First Class;Late delivery;1;2;1;3/3/2016 14:38
75123;First Class;Late delivery;1;2;1;1/3/2018 14:34
71995;First Class;Late delivery;1;2;1;11/18/2017 22:42
23433;First Class;Late delivery;1;2;1;12/11/2015 1:16
25383;First Class;Late delivery;1;2;1;1/8/2016 12:26
25963;First Class;Late delivery;1;2;1;1/16/2016 23:38
25368;First Class;Late delivery;1;2;1;1/8/2016 7:11
31215;First Class;Late delivery;1;2;1;4/2/2016 15:39
29469;First Class;Late delivery;1;2;1;3/8/2016 3:57
25489;First Class;Late delivery;1;2;1;1/10/2016 1:34
42411;First Class;Late delivery;1;2;1;9/13/2016 2:06
74024;First Class;Late delivery;1;2;1;12/18/2017 13:33
74225;First Class;Late delivery;1;2;1;12/21/2017 11:58
71617;First Class;Late delivery;1;2;1;11/13/2017 10:16
76556;First Class;Late delivery;1;2;1;1/24/2018 12:37
72627;First Class;Late delivery;1;2;1;11/28/2017 4:07
72749;First Class;Late delivery;1;2;1;11/29/2017 22:51
76750;First Class;Late delivery;1;2;1;1/27/2018 8:35
36616;First Class;Late delivery;1;2;1;6/20/2016 11:51
33052;First Class;Late delivery;1;2;1;4/29/2016 11:14
35151;First Class;Late delivery;1;2;1;5/30/2016 2:36
43224;First Class;Late delivery;1;2;1;9/24/2016 22:56
33547;First Class;Late delivery;1;2;1;5/6/2016 16:39
31641;First Class;Late delivery;1;2;1;4/8/2016 20:54
35488;First Class;Late delivery;1;2;1;6/4/2016 0:40
38713;First Class;Late delivery;1;2;1;7/21/2016 2:32
31719;First Class;Late delivery;1;2;1;4/10/2016 0:13
36477;First Class;Late delivery;1;2;1;6/18/2016 11:10
48412;First Class;Late delivery;1;2;1;12/9/2016 16:31
31979;First Class;Late delivery;1;2;1;4/13/2016 19:19
32220;First Class;Late delivery;1;2;1;4/17/2016 7:45
33412;First Class;Late delivery;1;2;1;5/4/2016 17:21
35613;First Class;Late delivery;1;2;1;6/5/2016 20:28
48081;First Class;Late delivery;1;2;1;12/4/2016 20:33
45952;First Class;Late delivery;1;2;1;11/3/2016 18:40
51036;First Class;Late delivery;1;2;1;1/16/2017 23:50
66102;First Class;Late delivery;1;2;1;8/24/2017 22:07
62623;First Class;Late delivery;1;2;1;7/5/2017 3:16
45851;First Class;Late delivery;1;2;1;11/2/2016 7:17
64213;First Class;Late delivery;1;2;1;7/28/2017 8:19
2997;First Class;Late delivery;1;2;1;2/15/2015 17:37
56914;First Class;Late delivery;1;2;1;4/12/2017 19:09
53200;First Class;Late delivery;1;2;1;2/17/2017 13:58
3844;First Class;Late delivery;1;2;1;2/28/2015 2:22
21701;First Class;Late delivery;1;2;1;11/15/2015 18:28
50890;First Class;Late delivery;1;2;1;1/14/2017 20:41
27722;First Class;Late delivery;1;2;1;2/11/2016 15:54
25117;First Class;Late delivery;1;2;1;1/4/2016 15:15
32821;First Class;Late delivery;1;2;1;4/26/2016 2:18
32651;First Class;Late delivery;1;2;1;4/23/2016 14:44
49143;First Class;Late delivery;1;2;1;12/20/2016 8:37
45790;First Class;Late delivery;1;2;1;11/1/2016 9:55
44188;First Class;Late delivery;1;2;1;10/9/2016 0:40
47711;First Class;Late delivery;1;2;1;11/29/2016 10:56
9947;First Class;Late delivery;1;2;1;5/28/2015 4:31
59731;First Class;Late delivery;1;2;1;5/23/2017 22:04
5130;First Class;Late delivery;1;2;1;3/18/2015 20:55
8188;First Class;Late delivery;1;2;1;5/2/2015 12:16
5599;First Class;Late delivery;1;2;1;3/25/2015 17:13
45229;First Class;Late delivery;1;2;1;10/24/2016 5:22
22396;First Class;Late delivery;1;2;1;11/25/2015 21:57
29027;First Class;Late delivery;1;2;1;3/1/2016 17:06
31405;First Class;Late delivery;1;2;1;4/5/2016 10:13
33737;First Class;Late delivery;1;2;1;5/9/2016 11:13
46914;First Class;Late delivery;1;2;1;11/17/2016 19:42
15335;First Class;Late delivery;1;2;1;8/14/2015 20:11
14567;First Class;Late delivery;1;2;1;8/3/2015 15:07
52217;First Class;Late delivery;1;2;1;2/3/2017 5:35
28342;First Class;Late delivery;1;2;1;2/20/2016 17:06
29714;First Class;Late delivery;1;2;1;3/11/2016 17:47
31266;First Class;Late delivery;1;2;1;4/3/2016 9:31
19652;First Class;Late delivery;1;2;1;10/16/2015 20:37
17773;First Class;Late delivery;1;2;1;9/19/2015 10:19
11238;First Class;Late delivery;1;2;1;6/16/2015 0:49
52931;First Class;Late delivery;1;2;1;2/13/2017 15:44
55599;First Class;Late delivery;1;2;1;3/24/2017 14:27
48863;First Class;Late delivery;1;2;1;12/16/2016 6:32
41148;First Class;Late delivery;1;2;1;8/25/2016 15:37
34403;First Class;Late delivery;1;2;1;5/19/2016 4:33
45530;Same Day;Late delivery;1;1;0;10/27/2016 2:50
50996;Same Day;Shipping on time;0;0;0;1/14/2017 21:49
71013;Same Day;Late delivery;1;1;0;11/3/2017 2:40
69424;Same Day;Shipping on time;0;0;0;10/10/2017 21:58
14011;Same Day;Late delivery;1;1;0;7/25/2015 0:19
63766;Same Day;Late delivery;1;1;0;7/20/2017 7:43
10517;Same Day;Late delivery;1;1;0;6/4/2015 0:13
44034;Same Day;Late delivery;1;1;0;10/5/2016 6:43
43117;Same Day;Shipping on time;0;0;0;9/21/2016 21:27
42012;Same Day;Shipping on time;0;0;0;9/5/2016 18:19
66888;Same Day;Shipping on time;0;0;0;9/3/2017 21:29
63980;Same Day;Late delivery;1;1;0;7/23/2017 10:41
69195;Same Day;Shipping on time;0;0;0;10/7/2017 13:44
17966;Same Day;Shipping on time;0;0;0;9/20/2015 17:56
12714;Same Day;Late delivery;1;1;0;7/6/2015 1:55
19062;Same Day;Shipping on time;0;0;0;10/6/2015 17:55
19149;Same Day;Late delivery;1;1;0;10/8/2015 0:23
11050;Same Day;Shipping on time;0;0;0;6/11/2015 18:57
16452;Same Day;Shipping on time;0;0;0;8/29/2015 15:31
12635;Same Day;Shipping on time;0;0;0;7/4/2015 22:15
5943;Same Day;Late delivery;1;1;0;3/29/2015 5:44
3783;Same Day;Shipping on time;0;0;0;2/25/2015 17:00
6041;Same Day;Shipping on time;0;0;0;3/30/2015 16:04
9461;Same Day;Shipping on time;0;0;0;5/19/2015 14:15
6752;Same Day;Late delivery;1;1;0;4/10/2015 1:10
59274;Same Day;Shipping on time;0;0;0;5/15/2017 17:58
53409;Same Day;Late delivery;1;1;0;2/19/2017 3:12
4409;Same Day;Shipping on time;0;0;0;3/6/2015 20:19
58507;Same Day;Shipping on time;0;0;0;5/4/2017 13:15
74708;Same Day;Late delivery;1;1;0;12/27/2017 1:11
74711;Same Day;Late delivery;1;1;0;12/27/2017 2:14
25932;Same Day;Late delivery;1;1;0;1/15/2016 0:47
45939;Same Day;Late delivery;1;1;0;11/2/2016 2:07
20655;Same Day;Late delivery;1;1;0;10/30/2015 0:00
29190;Same Day;Shipping on time;0;0;0;3/2/2016 14:12
28518;Same Day;Shipping on time;0;0;0;2/21/2016 18:46
31163;Same Day;Late delivery;1;1;0;3/31/2016 9:26
46016;Same Day;Late delivery;1;1;0;11/3/2016 5:06
43298;Same Day;Shipping on time;0;0;0;9/24/2016 12:52
22948;Same Day;Late delivery;1;1;0;12/2/2015 11:21
23505;Same Day;Shipping on time;0;0;0;12/10/2015 14:29
23426;Same Day;Late delivery;1;1;0;12/9/2015 10:49
23212;Same Day;Late delivery;1;1;0;12/6/2015 7:50
43200;Same Day;Late delivery;1;1;0;9/23/2016 2:32
21899;Same Day;Late delivery;1;1;0;11/17/2015 3:50
73476;Same Day;Late delivery;1;1;0;12/9/2017 1:33
77204;Same Day;Late delivery;1;1;0;2/1/2018 11:38
73478;Same Day;Late delivery;1;1;0;12/9/2017 2:15
35335;Same Day;Late delivery;1;1;0;5/31/2016 7:04
36817;Same Day;Shipping on time;0;0;0;6/21/2016 22:17
39906;Same Day;Late delivery;1;1;0;8/6/2016 0:29
39004;Same Day;Shipping on time;0;0;0;7/23/2016 20:29
38365;Same Day;Shipping on time;0;0;0;7/14/2016 12:37
38197;Same Day;Late delivery;1;1;0;7/12/2016 1:45
38534;Same Day;Shipping on time;0;0;0;7/16/2016 23:49
42191;Same Day;Late delivery;1;1;0;9/8/2016 9:02
43914;Same Day;Shipping on time;0;0;0;10/3/2016 12:40
68489;Same Day;Late delivery;1;1;0;9/27/2017 6:23
9543;Same Day;Shipping on time;0;0;0;5/20/2015 18:59
53442;Same Day;Shipping on time;0;0;0;2/19/2017 14:45
46456;Same Day;Shipping on time;0;0;0;11/9/2016 15:15
36573;Same Day;Late delivery;1;1;0;6/18/2016 8:48
31586;Same Day;Shipping on time;0;0;0;4/6/2016 13:37
55734;Same Day;Late delivery;1;1;0;3/25/2017 1:45
55621;Same Day;Late delivery;1;1;0;3/23/2017 10:09
46017;Same Day;Late delivery;1;1;0;11/3/2016 5:27
59038;Same Day;Late delivery;1;1;0;5/12/2017 7:17
28541;Same Day;Late delivery;1;1;0;2/22/2016 2:50
28367;Same Day;Shipping on time;0;0;0;2/19/2016 13:52
39936;Same Day;Late delivery;1;1;0;8/6/2016 11:00
5732;Same Day;Late delivery;1;1;0;3/26/2015 3:49
48510;Same Day;Shipping on time;0;0;0;12/9/2016 14:51
23031;Same Day;Shipping on time;0;0;0;12/3/2015 16:26
35890;Same Day;Late delivery;1;1;0;6/8/2016 9:30
50345;Second Class;Late delivery;1;6;2;1/10/2017 21:44
50229;Second Class;Late delivery;1;5;2;1/8/2017 5:06
45830;Second Class;Late delivery;1;6;2;11/5/2016 23:56
50624;Second Class;Late delivery;1;5;2;1/13/2017 23:29
42591;Second Class;Shipping on time;0;2;2;9/15/2016 17:10
43096;Second Class;Shipping on time;0;2;2;9/23/2016 2:05
41489;Second Class;Late delivery;1;5;2;9/2/2016 15:05
43055;Second Class;Late delivery;1;6;2;9/26/2016 11:44
45089;Second Class;Late delivery;1;5;2;10/25/2016 4:20
69829;Second Class;Late delivery;1;5;2;10/21/2017 7:51
70877;Second Class;Late delivery;1;3;2;11/3/2017 15:01
70539;Second Class;Late delivery;1;5;2;10/31/2017 16:36
69946;Second Class;Shipping on time;0;2;2;10/20/2017 0:50
70815;Second Class;Late delivery;1;6;2;11/5/2017 17:17
70918;Second Class;Late delivery;1;4;2;11/5/2017 5:23
71008;Second Class;Late delivery;1;4;2;11/6/2017 12:54
69634;Second Class;Late delivery;1;5;2;10/18/2017 11:32
69705;Second Class;Late delivery;1;6;2;10/20/2017 12:24
70543;Second Class;Late delivery;1;4;2;10/30/2017 18:00
18700;Second Class;Late delivery;1;6;2;10/6/2015 23:05
63334;Second Class;Late delivery;1;5;2;7/18/2017 12:22
48522;Second Class;Late delivery;1;3;2;12/12/2016 7:04
15685;Second Class;Late delivery;1;6;2;8/23/2015 22:48
16220;Second Class;Late delivery;1;6;2;8/31/2015 18:14
17132;Second Class;Late delivery;1;3;2;9/11/2015 1:45
70343;Second Class;Late delivery;1;4;2;10/27/2017 19:56
64700;Second Class;Late delivery;1;6;2;8/8/2017 10:56
61988;Second Class;Late delivery;1;4;2;6/27/2017 20:48
13574;Second Class;Late delivery;1;5;2;7/23/2015 3:13
68268;Second Class;Late delivery;1;4;2;9/27/2017 12:58
18762;Second Class;Late delivery;1;3;2;10/4/2015 20:48
70448;Second Class;Late delivery;1;4;2;10/29/2017 8:43
48349;Second Class;Late delivery;1;5;2;12/11/2016 18:27
67948;Second Class;Late delivery;1;4;2;9/22/2017 20:51
70499;Second Class;Late delivery;1;5;2;10/31/2017 2:35
11031;Second Class;Shipping on time;0;2;2;6/13/2015 0:18
66368;Second Class;Late delivery;1;4;2;8/30/2017 19:18
19512;Second Class;Late delivery;1;3;2;10/15/2015 19:34
19679;Second Class;Late delivery;1;5;2;10/20/2015 6:04
64344;Second Class;Late delivery;1;5;2;8/2/2017 6:13
12318;Second Class;Late delivery;1;4;2;7/3/2015 19:11
67017;Second Class;Late delivery;1;3;2;9/8/2017 6:41
62821;Second Class;Shipping on time;0;2;2;7/8/2017 0:38
16341;Second Class;Shipping on time;0;2;2;8/29/2015 12:37
10838;Second Class;Late delivery;1;4;2;6/12/2015 4:41
12945;Second Class;Late delivery;1;6;2;7/14/2015 22:51
13380;Second Class;Late delivery;1;6;2;7/21/2015 7:15
71221;Second Class;Shipping on time;0;2;2;11/7/2017 15:32
67739;Second Class;Late delivery;1;5;2;9/20/2017 19:38
13330;Second Class;Late delivery;1;6;2;7/20/2015 13:44
19669;Second Class;Late delivery;1;5;2;10/20/2015 2:34
15875;Second Class;Late delivery;1;6;2;8/26/2015 17:22
15960;Second Class;Late delivery;1;6;2;8/27/2015 23:08
12564;Second Class;Late delivery;1;5;2;7/8/2015 9:22
13869;Second Class;Late delivery;1;5;2;7/27/2015 10:34
10620;Second Class;Late delivery;1;6;2;6/11/2015 0:18
17414;Second Class;Late delivery;1;5;2;9/17/2015 4:32
47625;Second Class;Late delivery;1;6;2;12/2/2016 4:48
62759;Second Class;Late delivery;1;5;2;7/10/2017 2:55
18452;Second Class;Late delivery;1;3;2;9/30/2015 8:12
17828;Second Class;Late delivery;1;4;2;9/22/2015 5:35
13087;Second Class;Late delivery;1;3;2;7/14/2015 0:36
13969;Second Class;Late delivery;1;5;2;7/28/2015 21:36
13029;Second Class;Late delivery;1;5;2;7/15/2015 4:17
14323;Second Class;Late delivery;1;4;2;8/2/2015 1:38
11258;Second Class;Late delivery;1;4;2;6/18/2015 7:49
68611;Second Class;Shipping on time;0;2;2;9/30/2017 13:08
17218;Second Class;Late delivery;1;4;2;9/13/2015 7:52
12988;Second Class;Late delivery;1;4;2;7/13/2015 13:55
17214;Second Class;Late delivery;1;5;2;9/14/2015 6:28
18541;Second Class;Shipping on time;0;2;2;9/30/2015 15:23
69104;Second Class;Late delivery;1;5;2;10/10/2017 17:51
69286;Second Class;Shipping on time;0;2;2;10/10/2017 9:37
53404;Second Class;Late delivery;1;5;2;2/23/2017 13:26
5838;Second Class;Late delivery;1;4;2;3/31/2015 4:57
57318;Second Class;Late delivery;1;4;2;4/20/2017 16:41
55246;Second Class;Shipping on time;0;2;2;3/19/2017 10:47
2396;Second Class;Shipping on time;0;2;2;2/6/2015 23:04
58357;Second Class;Late delivery;1;3;2;5/4/2017 20:42
8389;Second Class;Late delivery;1;5;2;5/8/2015 10:41
6955;Second Class;Late delivery;1;6;2;4/18/2015 12:17
58733;Second Class;Late delivery;1;4;2;5/11/2017 8:26
6585;Second Class;Late delivery;1;6;2;4/13/2015 2:40
56461;Second Class;Shipping on time;0;2;2;4/6/2017 4:27
57649;Second Class;Late delivery;1;5;2;4/26/2017 12:39
59660;Second Class;Late delivery;1;6;2;5/26/2017 21:12
56460;Second Class;Late delivery;1;6;2;4/10/2017 4:06
2061;Second Class;Shipping on time;0;2;2;2/2/2015 1:42
1296;Second Class;Shipping on time;0;2;2;1/21/2015 21:41
7834;Second Class;Late delivery;1;5;2;4/30/2015 8:14
55741;Second Class;Shipping on time;0;2;2;3/26/2017 16:12
59277;Second Class;Late delivery;1;3;2;5/18/2017 7:01
7822;Second Class;Late delivery;1;3;2;4/28/2015 4:02
6863;Second Class;Late delivery;1;4;2;4/15/2015 4:03
58569;Second Class;Late delivery;1;5;2;5/9/2017 22:58
